FEN_from,FEN_to,count
rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/2N1PP2/PP4PP/R1BQKBNR b KQkq -,rn1qkb1r/pp2pppp/2p1bn2/3p4/2PP4/2N1PP2/PP4PP/R1BQKBNR w KQkq -,1
rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/2N1P3/PP3PPP/R1BQKBNR w KQkq -,rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/2N1PP2/PP4PP/R1BQKBNR b KQkq -,1
rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/2N1P3/PP3PPP/R1BQKBNR w KQkq -,rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/1QN1P3/PP3PPP/R1B1KBNR b KQkq -,1
rn1qkb1r/pp2pppp/3p1n2/2p4b/4P3/2PB1N1P/PP1P1PP1/RNBQK2R w KQkq -,rn1qkb1r/pp2pppp/3p1n2/2p4b/4P3/2PB1N1P/PP1P1PP1/RNBQ1RK1 b kq -,1
rn1qkb1r/pp2pppp/3p1n2/2p5/4P1b1/2P2N2/PPBP1PPP/RNBQK2R b KQkq -,rn1qkb1r/pp2pp1p/3p1np1/2p5/4P1b1/2P2N2/PPBP1PPP/RNBQK2R w KQkq -,1
rn1qkb1r/pp2pppp/3p1n2/2p5/4P1b1/2PB1N1P/PP1P1PP1/RNBQK2R b KQkq -,rn1qkb1r/pp2pppp/3p1n2/2p5/4P3/2PB1b1P/PP1P1PP1/RNBQK2R w KQkq -,1
rn1qkb1r/pp2pppp/3p1n2/2p5/4P1b1/2PB1N2/PP1P1PPP/RNBQK2R w KQkq -,rn1qkb1r/pp2pppp/3p1n2/2p5/4P1b1/2P2N2/PPBP1PPP/RNBQK2R b KQkq -,1
rn1qkb1r/ppp1pppp/3p1n2/8/2PP2b1/4PN2/PP3PPP/RNBQKB1R b KQkq -,r2qkb1r/pppnpppp/3p1n2/8/2PP2b1/4PN2/PP3PPP/RNBQKB1R w KQkq -,1
rn1qkb1r/ppp1pppp/3p1n2/8/2PP2b1/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,rn1qkb1r/ppp1pppp/3p1n2/8/2PP4/2N2b2/PP2PPPP/R1BQKB1R w KQkq -,1
rn1qkb1r/ppp1pppp/3p1n2/8/2P3b1/5NP1/PP1PPPBP/RNBQK2R b KQkq -,rn1qkb1r/pp2pppp/2pp1n2/8/2P3b1/5NP1/PP1PPPBP/RNBQK2R w KQkq -,1
rn1qkb1r/ppp1pppp/3p1n2/8/2P3b1/5NP1/PP1PPP1P/RNBQKB1R w KQkq -,rn1qkb1r/ppp1pppp/3p1n2/8/2P3b1/5NP1/PP1PPPBP/RNBQK2R b KQkq -,1
rn1qkb1r/ppp1pppp/3p1n2/7b/3PP3/5N1P/PPP2PP1/RNBQKB1R w KQkq -,rn1qkb1r/ppp1pppp/3p1n2/7b/3PP3/3B1N1P/PPP2PP1/RNBQK2R b KQkq -,1
rn1qkb1r/ppp1pppp/3p1n2/7b/3PP3/3B1N1P/PPP2PP1/RNBQK2R b KQkq -,rn1qkb1r/ppp2ppp/3ppn2/7b/3PP3/3B1N1P/PPP2PP1/RNBQK2R w KQkq -,1
rn1qkb1r/ppp1pp2/3p1npp/5bN1/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq -,rn1qkb1r/ppp1pp2/3p1npp/5bN1/2PPP3/2N5/PP3PPP/R1BQKB1R b KQkq -,1
rn1qkb1r/ppp1pp1p/4bnp1/8/2pP4/2N1P3/PP1B1PPP/R2QKBNR w KQkq -,rn1qkb1r/ppp1pp1p/4bnp1/8/2pP4/2N1PN2/PP1B1PPP/R2QKB1R b KQkq -,1
rn1qkb1r/ppp1pp1p/3p2p1/5b2/2PPn3/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,rn1qkb1r/ppp1pp1p/3p2p1/5b2/2PPN3/5NP1/PP2PP1P/R1BQKB1R b KQkq -,1
rn1qkb1r/ppp1pp1p/3p1np1/5bN1/2PP4/2N5/PP2PPPP/R1BQKB1R b KQkq -,rn1qkb1r/ppp1pp2/3p1npp/5bN1/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq -,1
rn1qkb1r/ppp1pp1p/3p1np1/5b2/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,rn1qkb1r/ppp1pp1p/3p2p1/5b2/2PPn3/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,1
rn1qkb1r/ppp1pp1p/3p1np1/5b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,rn1qkb1r/ppp1pp1p/3p1np1/5bN1/2PP4/2N5/PP2PPPP/R1BQKB1R b KQkq -,1
rn1qkb1r/ppp1pp1p/3p1np1/5b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,rn1qkb1r/ppp1pp1p/3p1np1/5b2/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,1
rn1qkb1r/pp3ppp/3ppn2/2p5/4P1b1/2P2N2/PP1PBPPP/RNBQ1RK1 w kq -,rn1qkb1r/pp3ppp/3ppn2/2p5/4P1b1/2PP1N2/PP2BPPP/RNBQ1RK1 b kq -,1
rn1qkb1r/pp3ppp/3ppn2/2p5/4P1b1/2P2N2/PP1PBPPP/RNBQ1RK1 w kq -,rn1qkb1r/pp3ppp/3ppn2/2p5/4P1b1/2P2N2/PP1PBPPP/RNBQR1K1 b kq -,1
rn1qkb1r/pp3ppp/2pp1n2/4p3/P2PP1b1/2N2N2/1PP2PPP/R1BQKB1R w KQkq -,rn1qkb1r/pp3ppp/2pp1n2/4P3/P3P1b1/2N2N2/1PP2PPP/R1BQKB1R b KQkq -,1
rn1qkb1r/pp3ppp/2pp1n2/4p3/2P1P1b1/2N2N2/PP1PBPPP/R1BQK2R w KQkq -,rn1qkb1r/pp3ppp/2pp1n2/4p3/2PPP1b1/2N2N2/PP2BPPP/R1BQK2R b KQkq -,1
rn1qkb1r/pp3ppp/2pp1n2/4p3/2B1PPb1/2NP4/PPP3PP/R1BQK1NR w KQkq -,rn1qkb1r/pp3ppp/2pp1n2/4p3/2B1PPb1/2NP1N2/PPP3PP/R1BQK2R b KQkq -,1
rn1qkb1r/pp3ppp/2p2p2/3p1b2/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq -,rn1qkb1r/pp3ppp/2p2p2/3p1b2/3P4/3BPN2/PPP2PPP/RN1QK2R b KQkq -,1
rn1qkb1r/pp3ppp/2p1pn2/3p4/6b1/1P3NP1/P1PPPPBP/RNBQ1RK1 w kq -,rn1qkb1r/pp3ppp/2p1pn2/3p4/6b1/1P3NP1/PBPPPPBP/RN1Q1RK1 b kq -,1
rn1qkb1r/pp3ppp/2p1pn2/3p4/2P3b1/1P4P1/PB1PPPBP/RN1QK1NR w KQkq -,rn1qkb1r/pp3ppp/2p1pn2/3p4/2P3b1/1P3NP1/PB1PPPBP/RN1QK2R b KQkq -,1
rn1qkb1r/pp3ppp/2p1pn2/3p4/2P3b1/1P2PN2/PB1P1PPP/RN1QKB1R w KQkq -,rn1qkb1r/pp3ppp/2p1pn2/3p4/2P3b1/1P2PN2/PB1PBPPP/RN1QK2R b KQkq -,1
rn1qkb1r/pp3ppp/2p1pn2/3p4/2P3b1/1P2PN2/PB1P1PPP/RN1QKB1R w KQkq -,rn1qkb1r/pp3ppp/2p1pn2/3p4/2P3b1/1P2PN1P/PB1P1PP1/RN1QKB1R b KQkq -,1
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2PP4/3BPN2/PP3PPP/RNBQK2R w KQkq -,rn1qkb1r/pp3ppp/2p1pn2/3p1B2/2PP4/4PN2/PP3PPP/RNBQK2R b KQkq -,1
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,1
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2P5/1P3NP1/P2PPPBP/RNBQK2R w KQkq -,rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2P5/1P3NP1/PB1PPPBP/RN1QK2R b KQkq -,1
rn1qkb1r/pp2pppp/3p1n2/2p5/4P3/2PB1b1P/PP1P1PP1/RNBQK2R w KQkq -,rn1qkb1r/pp2pppp/3p1n2/2p5/4P3/2PB1Q1P/PP1P1PP1/RNB1K2R b KQkq -,1
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/1QP1P3/PP3PPP/RN2KBNR b KQkq -,r2qkb1r/pppn1ppp/4pn2/3p1b2/3P1B2/1QP1P3/PP3PPP/RN2KBNR w KQkq -,1
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/2P1P3/PP3PPP/RN1QKBNR w KQkq -,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/1QP1P3/PP3PPP/RN2KBNR b KQkq -,1
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,rn1qkb1r/ppp2ppp/4pn2/3p1b2/2PP1B2/4PN2/PP3PPP/RN1QKB1R b KQkq -,1
rn1qkbnr/pbp2ppp/1p1pp3/8/2PPP3/3B1N2/PP3PPP/RNBQK2R b KQkq -,rn1qkbnr/pbp2p1p/1p1pp1p1/8/2PPP3/3B1N2/PP3PPP/RNBQK2R w KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/4P3/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/4P3/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/3P4/2P5/P7/1P2PPPP/RNBQKBNR b KQkq -,rn1qkbnr/pbpp2pp/1p2p3/3P1p2/2P5/P7/1P2PPPP/RNBQKBNR w KQkq -,1
rn1qkbnr/pbpp1p1p/1p4p1/8/2Pp4/5NP1/PP2PPBP/RNBQK2R w KQkq -,rn1qkbnr/pbpp1p1p/1p4p1/8/2PQ4/5NP1/PP2PPBP/RNB1K2R b KQkq -,1
rn1qkbnr/pbpp1p1p/1p4p1/4p3/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq -,rn1qkbnr/pbpp1p1p/1p4p1/8/2Pp4/5NP1/PP2PPBP/RNBQK2R w KQkq -,1
rn1qkbnr/pbpp1p1p/1p4p1/4p3/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq -,rn1qkbnr/pbpp1p1p/1p4p1/4p3/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq -,1
rn1qkbnr/pbpp1p1p/1p2p1p1/8/2PPP3/P1N5/1P3PPP/R1BQKBNR b KQkq -,rn1qk1nr/pbpp1pbp/1p2p1p1/8/2PPP3/P1N5/1P3PPP/R1BQKBNR w KQkq -,1
rn1qkbnr/pbpp1p1p/1p2p1p1/8/2P1P3/P1N5/1P1P1PPP/R1BQKBNR w KQkq -,rn1qkbnr/pbpp1p1p/1p2p1p1/8/2PPP3/P1N5/1P3PPP/R1BQKBNR b KQkq -,1
rn1qkbnr/pbp2ppp/4p3/1p6/P1pPP3/5N2/1P3PPP/RNBQKB1R w KQkq -,rn1qkbnr/pbp2ppp/4p3/1P6/2pPP3/5N2/1P3PPP/RNBQKB1R b KQkq -,1
rn1qkbnr/pbp2ppp/1p2p3/3p4/3PP3/5N2/PPPN1PPP/R1BQKB1R w KQkq -,rn1qkbnr/pbp2ppp/1p2p3/1B1p4/3PP3/5N2/PPPN1PPP/R1BQK2R b KQkq -,1
rn1qkbnr/pbp2ppp/1p2p3/1B1p4/3PP3/5N2/PPPN1PPP/R1BQK2R b KQkq -,rn1qkbnr/pb3ppp/1pp1p3/1B1p4/3PP3/5N2/PPPN1PPP/R1BQK2R w KQkq -,1
rn1qkbnr/pbp2ppp/1p1pp3/8/3PP3/3B1N2/PPP2PPP/RNBQK2R w KQkq -,rn1qkbnr/pbp2ppp/1p1pp3/8/3PP3/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,1
rn1qkbnr/pbp2ppp/1p1pp3/8/3PP3/3B1N2/PPP2PPP/RNBQK2R w KQkq -,rn1qkbnr/pbp2ppp/1p1pp3/8/2PPP3/3B1N2/PP3PPP/RNBQK2R b KQkq -,1
rn1qkbnr/pbp2ppp/1p1pp3/8/3PP3/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,r2qkbnr/pbpn1ppp/1p1pp3/8/3PP3/3B1N2/PPP2PPP/RNBQ1RK1 w kq -,1
rn1qkbnr/pbp2p1p/1p1pp1p1/8/2PPP3/3B1N2/PP3PPP/RNBQK2R w KQkq -,rn1qkbnr/pbp2p1p/1p1pp1p1/6B1/2PPP3/3B1N2/PP3PPP/RN1QK2R b KQkq -,1
rn1qkbnr/pb1ppp1p/1p4p1/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq -,rn1qkbnr/pb1ppp1p/1p4p1/2p5/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq -,1
rn1qkbnr/pb3ppp/1pp1p3/1B1p4/3PP3/5N2/PPPN1PPP/R1BQK2R w KQkq -,rn1qkbnr/pb3ppp/1pp1p3/3p4/3PP3/3B1N2/PPPN1PPP/R1BQK2R b KQkq -,1
rn1qkbnr/pb3ppp/1p1pp3/2p5/4P3/3P1NP1/PPP2PBP/RNBQK2R w KQkq -,rn1qkbnr/pb3ppp/1p1pp3/2p5/4P3/3P1NP1/PPP2PBP/RNBQ1RK1 b kq -,1
rn1qkbnr/pb1ppppp/1p6/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,rn1qkbnr/pb1ppppp/1p6/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq -,1
rn1qkbnr/pb1ppppp/1p6/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,rn1qkbnr/pb1ppppp/1p6/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq -,1
rn1qkbnr/pb1ppppp/1p6/8/2PN4/8/PP2PPPP/RNBQKB1R w KQkq -,rn1qkbnr/pb1ppppp/1p6/8/2PN4/2N5/PP2PPPP/R1BQKB1R b KQkq -,1
rn1qkbnr/pb1ppppp/1p6/8/2PN4/2N5/PP2PPPP/R1BQKB1R b KQkq -,rn1qkb1r/pb1ppppp/1p3n2/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq -,1
rn1qkbnr/pb1ppppp/1p6/2p5/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,rn1qkbnr/pb1ppppp/1p6/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,1
rn1qkbnr/pb1ppppp/1p6/2p5/4P3/N5P1/PPPP1PBP/R1BQK1NR b KQkq -,rn1qkbnr/pb1pp1pp/1p6/2p2p2/4P3/N5P1/PPPP1PBP/R1BQK1NR w KQkq -,1
rn1qkbnr/pb1ppppp/1p6/2p5/4P3/N5P1/PPPP1P1P/R1BQKBNR w KQkq -,rn1qkbnr/pb1ppppp/1p6/2p5/4P3/N5P1/PPPP1PBP/R1BQK1NR b KQkq -,1
rn1qkbnr/pb1ppppp/1p6/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,rn1qkbnr/pb1ppppp/1p6/2p5/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,1
rn1qkbnr/pb1ppppp/1p6/2p5/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,rn1qkbnr/pb1ppppp/1p6/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,1
rn1qkbnr/pb1ppppp/1p6/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,rn1qkbnr/pb1ppp1p/1p4p1/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq -,1
rn1qkbnr/pb1ppp1p/1p4p1/8/2Pp4/5NP1/PP2PPBP/RNBQK2R w KQkq -,rn1qkbnr/pb1ppp1p/1p4p1/8/2PQ4/5NP1/PP2PPBP/RNB1K2R b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/2P1P3/P1N5/1P1P1PPP/R1BQKBNR b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2P1P3/P1N5/1P1P1PPP/R1BQKBNR b KQkq -,rn1qkbnr/pbpp1p1p/1p2p1p1/8/2P1P3/P1N5/1P1P1PPP/R1BQKBNR w KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/2P5/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,1
rn1qkbnr/pbpp2pp/1p2p3/5p2/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,rn1qkb1r/pbpp2pp/1p2pn2/5p2/2PP4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,1
rn1qkbnr/pbpp2pp/1p2p3/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,rn1qkbnr/pbpp2pp/1p2p3/5p2/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,1
rn1qkbnr/pbpp2pp/1p2p3/5P2/2PP4/3B4/PP3PPP/RNBQK1NR b KQkq -,rn1qkbnr/p1pp2pp/1p2p3/5P2/2PP4/3B4/PP3PbP/RNBQK1NR w KQkq -,1
rn1qkbnr/pbpp2pp/1p2p3/3P1p2/2P5/P7/1P2PPPP/RNBQKBNR w KQkq -,rn1qkbnr/pbpp2pp/1p2p3/3P1p2/2P5/P5P1/1P2PP1P/RNBQKBNR b KQkq -,1
rn1qkbnr/pbpp2pp/1p2p3/3P1p2/2P5/P5P1/1P2PP1P/RNBQKBNR b KQkq -,rn1qkb1r/pbpp2pp/1p2pn2/3P1p2/2P5/P5P1/1P2PP1P/RNBQKBNR w KQkq -,1
rn1qkbnr/pbpp2pp/1p2p3/3P1p2/2P5/P1N5/1P2PPPP/R1BQKBNR b KQkq -,r2qkbnr/pbpp2pp/np2p3/3P1p2/2P5/P1N5/1P2PPPP/R1BQKBNR w KQkq -,1
rn1qkbnr/pbpp1ppp/1p6/4p3/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,rn1qkbnr/pbpp1ppp/1p6/4p3/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,1
rn1qkbnr/pbpp1ppp/1p6/4p3/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,rn1qkbnr/pbpp1p1p/1p4p1/4p3/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,rn1qkb1r/pbpp1ppp/1p2pn2/8/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/3B1N2/PPP2PPP/RNBQK2R b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/3B1N2/PPP2PPP/RNBQK2R b KQkq -,rn1qkb1r/pbpp1ppp/1p2pn2/8/3PP3/3B1N2/PPP2PPP/RNBQK2R w KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2PPP3/8/PP3PPP/RNBQKBNR w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2PPP3/3B4/PP3PPP/RNBQK1NR b KQkq -,rn1qk1nr/pbpp1ppp/1p2p3/8/1bPPP3/3B4/PP3PPP/RNBQK1NR w KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/P7/1P2PPPP/RNBQKBNR w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/3P4/2P5/P7/1P2PPPP/RNBQKBNR b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq -,rn1qk1nr/pbpp1ppp/1p2p3/8/1bPP4/5NP1/PP2PP1P/RNBQKB1R w KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/P1N5/1P2PPPP/R1BQKBNR b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,rn1qkbnr/pbpp2pp/1p2p3/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,rn1qk1nr/pbpp1ppp/1p2p3/8/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,rn1qkb1r/pbpp1ppp/1p2pn2/8/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq -,rn1qkbnr/pbpp1ppp/1p2p3/8/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,1
rn1qkbnr/pbpp1ppp/1p2p3/8/2P5/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq -,rn1qk1nr/pbpp1ppp/1p2p3/8/1bP5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,1
rn1qkbnr/pb1ppp1p/1p4p1/2p5/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq -,rn1qkbnr/pb1ppp1p/1p4p1/8/2Pp4/5NP1/PP2PPBP/RNBQK2R w KQkq -,1
rn1qkbnr/pb1pp1pp/1p6/2p2p2/4P3/N5P1/PPPP1PBP/R1BQK1NR w KQkq -,rn1qkbnr/pb1pp1pp/1p6/2p2p2/4P3/N2P2P1/PPP2PBP/R1BQK1NR b KQkq -,1
rn1qkb1r/ppp2ppp/4pn2/3p1b2/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq -,rn1qkb1r/ppp2pp1/4pn1p/3p1b2/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,1
rn1qkb1r/pppbpp1p/6p1/3n4/Q7/2N2N2/PP1PPPPP/R1B1KB1R w KQkq -,rn1qkb1r/pppbpp1p/6p1/3n4/8/2N2N2/PPQPPPPP/R1B1KB1R b KQkq -,1
rn1qkbnr/1p1b1ppp/p3p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,rn1qkbnr/1p1b1ppp/p3p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQK2R b KQkq -,1
rn1qkbnr/1bpppppp/p7/1p6/4P3/3P1NP1/PPP2P1P/RNBQKB1R b KQkq -,rn1qkbnr/1bp1pppp/p2p4/1p6/4P3/3P1NP1/PPP2P1P/RNBQKB1R w KQkq -,1
rn1qkbnr/1bpppppp/p7/1p6/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq -,rn1qkbnr/1bpppppp/p7/1p6/4P3/3P1NP1/PPP2P1P/RNBQKB1R b KQkq -,1
rn1qkbnr/1bpppppp/p7/1p6/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,rn1qkbnr/1bpppppp/p7/1p6/3PP3/3B1N2/PPP2PPP/RNBQK2R b KQkq -,1
rn1qkbnr/1bpppppp/p7/1p6/3PP3/3B1N2/PPP2PPP/RNBQK2R b KQkq -,rn1qkb1r/1bpppppp/p4n2/1p6/3PP3/3B1N2/PPP2PPP/RNBQK2R w KQkq -,1
rn1qkbnr/1bpp1ppp/p3p3/8/Pp1PP3/3B1N2/1PP2PPP/RNBQK2R w KQkq -,rn1qkbnr/1bpp1ppp/p3p3/8/Pp1PP3/3B1N2/1PP2PPP/RNBQ1RK1 b kq -,1
rn1qkbnr/1bp1pppp/p7/1p6/P1pP4/4PN2/1P3PPP/RNBQKB1R w KQkq -,rn1qkbnr/1bp1pppp/p7/1p6/P1pP4/1P2PN2/5PPP/RNBQKB1R b KQkq -,1
rn1qkbnr/1bp1pppp/p7/1p6/8/4NN2/PP1PPPPP/R1BQKB1R w KQkq -,rn1qkbnr/1bp1pppp/p7/1p6/8/4NNP1/PP1PPP1P/R1BQKB1R b KQkq -,1
rn1qkbnr/1bp1pppp/p2p4/1p6/P3P3/3P1NP1/1PP2P1P/RNBQKB1R b KQkq -,r2qkbnr/1bpnpppp/p2p4/1p6/P3P3/3P1NP1/1PP2P1P/RNBQKB1R w KQkq -,1
rn1qkbnr/1bp1pppp/p2p4/1p6/4P3/3P1NP1/PPP2P1P/RNBQKB1R w KQkq -,rn1qkbnr/1bp1pppp/p2p4/1p6/P3P3/3P1NP1/1PP2P1P/RNBQKB1R b KQkq -,1
rn1qkbnr/1b1ppppp/pp6/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,rn1qkbnr/1b1ppppp/pp6/8/3NP3/2N3P1/PPP2P1P/R1BQKB1R b KQkq -,1
rn1qkbnr/1b1ppppp/pp6/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,rn1qkbnr/1b1ppppp/pp6/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq -,1
rn1qkbnr/1b1ppppp/p7/1p6/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,rn1qkbnr/1b1ppppp/p7/1p6/3NP3/2NB4/PPP2PPP/R1BQK2R b KQkq -,1
rn1qkb1r/pppbpp1p/6p1/3n4/Q7/2N2N2/PP1PPPPP/R1B1KB1R w KQkq -,rn1qkb1r/pppbpp1p/6p1/3n4/8/1QN2N2/PP1PPPPP/R1B1KB1R b KQkq -,1
